ili_id	status	superseded_by	origin	used_by	definition
i1	1		pwn-3.0:00001740-a	pwn-3.0:00001740-a;omw-arb-1.4:00001740-a;wnja-1.9.0:00001740-a;wnb_id-2.0:00001740-a;wnb_zsm-2.0:00001740-a	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
i2	1		pwn-3.0:00002098-a	pwn-3.0:00002098-a;wnja-1.9.0:00002098-a;wnb_id-2.0:00002098-a	(usually followed by `to') not having the necessary means or skill or know-how
i3	1		pwn-3.0:00002312-a	pwn-3.0:00002312-a;wnja-1.9.0:00002312-a;wnb_id-2.0:00002312-a;wnb_zsm-2.0:00002312-a	facing away from the axis of an organ or organism
i4	1		pwn-3.0:00002527-a	pwn-3.0:00002527-a;wnja-1.9.0:00002527-a	nearest to or facing toward the axis of an organ or organism
i5	1		pwn-3.0:00002730-a	pwn-3.0:00002730-a;wnja-1.9.0:00002730-a	facing or on the side toward the apex
i6	1		pwn-3.0:00002843-a	pwn-3.0:00002843-a;wnja-1.9.0:00002843-a	facing or on the side toward the base
i7	1		pwn-3.0:00002956-a	pwn-3.0:00002956-a;wnja-1.9.0:00002956-a	especially of muscles; drawing away from the midline of the body or from an adjacent part
i8	1		pwn-3.0:00003131-a	pwn-3.0:00003131-a;wnja-1.9.0:00003131-a	especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
i9	1		pwn-3.0:00003356-a	pwn-3.0:00003356-a;wnja-1.9.0:00003356-a	being born or beginning
i10	1		pwn-3.0:00003553-s	pwn-3.0:00003553-s;wnja-1.9.0:00003553-a	coming into existence
i11	1		pwn-3.0:00003700-s	pwn-3.0:00003700-s;wnja-1.9.0:00003700-a	bursting open with force, as do some ripe seed vessels
i12	1		pwn-3.0:00003829-s	pwn-3.0:00003829-s;wnja-1.9.0:00003829-a;wnb_id-2.0:00003829-a;wnb_zsm-2.0:00003829-a	giving birth
i13	1		pwn-3.0:00003939-a	pwn-3.0:00003939-a;wnja-1.9.0:00003939-a;wnb_id-2.0:00003939-a	in or associated with the process of passing from life or ceasing to be
i14	1		pwn-3.0:00004171-s	pwn-3.0:00004171-s;wnja-1.9.0:00004171-a;wnb_zsm-2.0:00004171-a	being on the point of death; breathing your last
i15	1		pwn-3.0:00004296-s	pwn-3.0:00004296-s;wnja-1.9.0:00004296-a	occurring at the time of death
i16	1		pwn-3.0:00004413-a	pwn-3.0:00004413-a;omw-arb-1.4:00004413-a;wnja-1.9.0:00004413-a	(used of texts) shortened by condensing or rewriting
i17	1		pwn-3.0:00004615-s	pwn-3.0:00004615-s;wnja-1.9.0:00004615-a	with parts removed
i18	1		pwn-3.0:00004723-s	pwn-3.0:00004723-s;wnja-1.9.0:00004723-a	abridged to half its original length
i19	1		pwn-3.0:00004817-s	pwn-3.0:00004817-s;wnja-1.9.0:00004817-a	(British informal) summarized or abridged
i20	1		pwn-3.0:00004980-a	pwn-3.0:00004980-a;wnja-1.9.0:00004980-a	(used of texts) not shortened
i21	1		pwn-3.0:00005107-s	pwn-3.0:00005107-s;wnja-1.9.0:00005107-a;wnb_id-2.0:00005107-a;wnb_zsm-2.0:00005107-a	complete
i22	1		pwn-3.0:00005205-a	pwn-3.0:00005205-a;omw-bg-1.4:00005205-a;wnja-1.9.0:00005205-a;wnb_id-2.0:00005205-a;wnb_zsm-2.0:00005205-a	perfect or complete or pure
i23	1		pwn-3.0:00005473-s	pwn-3.0:00005473-s;wnja-1.9.0:00005473-a;wnb_id-2.0:00005473-a;wnb_zsm-2.0:00005473-a	lacking compromising or mitigating elements; exact
i24	1		pwn-3.0:00005599-s	pwn-3.0:00005599-s;wnja-1.9.0:00005599-a;wnb_id-2.0:00005599-a;wnb_zsm-2.0:00005599-a	being without doubt or reserve
i25	1		pwn-3.0:00005718-s	pwn-3.0:00005718-s;wnja-1.9.0:00005718-a;wnb_id-2.0:00005718-a	total and all-embracing
